reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
28/08/2026,2026-W35,1,EGAT__FL01__Main,EGAT,FL01,Main11,มิเตอร์รวมทั้งหมด,,kWh,,
28/08/2026,2026-W35,2,EGAT__FL01__Main2,EGAT,FL01,Main21,มิเตอร์รวม เฟส 1,,kWh,,
28/08/2026,2026-W35,3,T.0006__FL01__MDB,T.0006,FL01,MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,28.04442,MWh,ธนวิชญ์,
28/08/2026,2026-W35,4,T.0007__FL01__MDB,T.0007,FL01,MDB,ท.0007 อาคาร กองบริหาร ชธธ.,31130.6,kWh,,
28/08/2026,2026-W35,5,T.0008__FL01__MDB,T.0008,FL01,MDB,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,5018.91,kWh,,
28/08/2026,2026-W35,6,T.0009__FL01__MDB,T.0009,FL01,MDB,ท.0009 อาคาร ปฏิบัติการพิเศษ,,kWh,,
28/08/2026,2026-W35,7,T.0010__FL01__MDB,T.0010,FL01,MDB,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,99832.26,kWh,,
28/08/2026,2026-W35,8,T.0011__FL01__MDB,T.0011,FL01,MDB,ท.0011 อาคาร เครื่องมือ อบค.,7518.51,kWh,,
28/08/2026,2026-W35,9,T.0012__FL01__MDB,T.0012,FL01,MDB,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.,375864.05,kWh,,
28/08/2026,2026-W35,10,D.0026__FL01__MDB,D.0026,FL01,MDB,ต.0026 อาคารระบบประปา,8512.83,kWh,ธนวิชญ์,
28/08/2026,2026-W35,11,D.0017__FL01__MDB,D.0017,FL01,MDB,ต.0017 อาคาร โรงอาหาร,11809.13,kWh,,
28/08/2026,2026-W35,12,D.0017__FL01__ร้านค้า_1,D.0017,FL01,ร้านค้า 1,ต.0017 ร้านอาหาร 1 (จ๊ายตี๋),,kWh,,
28/08/2026,2026-W35,13,D.0017__FL01__ร้านค้า_2,D.0017,FL01,ร้านค้า 2,ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น),5779,kWh,ธนวิชญ์,
28/08/2026,2026-W35,14,D.0017__FL01__ร้านค้า_3,D.0017,FL01,ร้านค้า 3,ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด),,kWh,,
28/08/2026,2026-W35,15,D.0017__FL01__ร้านค้า_4,D.0017,FL01,ร้านค้า 4,ต.0017 ตู้ ATM ธนาคารกรุงไทย,2517,kWh,ธนวิชญ์,
28/08/2026,2026-W35,16,D.0017__FL01__ร้านค้า_5,D.0017,FL01,ร้านค้า 5,ต.0017 ร้านกาแฟ ใหม่,1934,kWh,ธนวิชญ์,
28/08/2026,2026-W35,17,T.0014__FL01__MDB,T.0014,FL01,MDB,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,442442.51,kWh,,
28/08/2026,2026-W35,18,T.0015__FL01__MDB,T.0015,FL01,MDB,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,724685.84,kWh,,
28/08/2026,2026-W35,19,T.0016__FL01__MDB,T.0016,FL01,MDB,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.,433387.82,kWh,,
28/08/2026,2026-W35,20,T.0017__FL01__MDB,T.0017,FL01,MDB,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล,355070.92,kWh,,
28/08/2026,2026-W35,21,T.0018__FL01__MDB,T.0018,FL01,MDB,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,417394.81,kWh,,
28/08/2026,2026-W35,22,D.0019__FL01__MDB,D.0019,FL01,MDB,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,277224.91,kWh,,
28/08/2026,2026-W35,23,D.0019__FL01__ร้านค้า_1,D.0019,FL01,ร้านค้า 1,ต.0019 ร้านอาหาร 4 (ครัวเทคแคร์),8424,kWh,ธนวิชญ์,
