reading_date,week_id,sort_order,meter_id,b_code,floor,subb_code,building_name,raw_reading,raw_unit,reader,note
2025-08-29,2025-W35,1,EGAT__FL01__Main,EGAT,FL01,Main,มิเตอร์รวมทั้งหมด,7592.725,MWh,,
2025-08-29,2025-W35,2,EGAT__FL01__Main2,EGAT,FL01,Main2,มิเตอร์รวม เฟส 1,,kWh,,
2025-08-29,2025-W35,3,T.0006__FL01__MDB,T.0006,FL01,MDB,ท.0006 อาคาร บริหารอะไหล่กังหันก๊าซ1 อรอ.,939.95,MWh,,
2025-08-29,2025-W35,4,T.0007__FL01__MDB,T.0007,FL01,MDB,ท.0007 อาคาร กองบริหาร ชธธ.,199.931,MWh,,
2025-08-29,2025-W35,5,T.0008__FL01__MDB,T.0008,FL01,MDB,ท.0008 อาคาร บริหารอะไหล่กังหันก๊าซ2 อรอ.,344747.74,kWh,,
2025-08-29,2025-W35,6,T.0009__FL01__MDB,T.0009,FL01,MDB,ท.0009 อาคาร ปฏิบัติการพิเศษ,39.933,MWh,,
2025-08-29,2025-W35,7,T.0010__FL01__MDB,T.0010,FL01,MDB,ท.0010 อาคาร ทดสอบเครื่องกล อรอ.,32.09,kWh,,
2025-08-29,2025-W35,8,T.0011__FL01__MDB,T.0011,FL01,MDB,ท.0011 อาคาร เครื่องมือ อบค.,3373.33,kWh,,
2025-08-29,2025-W35,9,T.0012__FL01__MDB,T.0012,FL01,MDB,ท.0012 อาคาร บำรุงรักษาเครื่องกล อบค.,101289.98,kWh,,
2025-08-29,2025-W35,10,D.0026__FL01__MDB,D.0026,FL01,MDB,ต.0026 อาคารระบบประปา,1533.99,kWh,,
2025-08-29,2025-W35,11,D.0017__FL01__MDB,D.0017,FL01,MDB,ต.0017 อาคาร โรงอาหาร,3091.61,kWh,,
2025-08-29,2025-W35,12,D.0017__FL01__ร้านค้า_1,D.0017,FL01,ร้านค้า 1,ต.0017 ร้านอาหาร 1 (จ๊ายตี๋),6316,kWh,,
2025-08-29,2025-W35,13,D.0017__FL01__ร้านค้า_2,D.0017,FL01,ร้านค้า 2,ต.0017 ร้านอาหาร 2 (ก๋วยเตี๋ยวสะบัดเส้น),2884,kWh,,
2025-08-29,2025-W35,14,D.0017__FL01__ร้านค้า_3,D.0017,FL01,ร้านค้า 3,ต.0017 ร้านอาหาร 3 (ร้านอาหารไม่ปิด),6991,kWh,,
2025-08-29,2025-W35,15,D.0017__FL01__ร้านค้า_4,D.0017,FL01,ร้านค้า 4,ต.0017 ตู้ ATM ธนาคารกรุงไทย,1421,kWh,,
2025-08-29,2025-W35,16,D.0017__FL01__ร้านค้า_5,D.0017,FL01,ร้านค้า 5,ต.0017 ร้านกาแฟ ใหม่,1694,kWh,,
2025-08-29,2025-W35,17,T.0014__FL01__MDB,T.0014,FL01,MDB,ท.0014 อาคาร ปฏิบัติการฝ่ายบำรุงรักษาไฟฟ้าและโยธา,390416,kWh,,
2025-08-29,2025-W35,18,T.0015__FL01__MDB,T.0015,FL01,MDB,ท.0015 อาคาศูนย์ปฏิบัติการทดสอบเคมี 2,114173,kWh,,
2025-08-29,2025-W35,19,T.0016__FL01__MDB,T.0016,FL01,MDB,ท.0016 อาคารปฏิบัติการเคมี 1 อคม.,376315,kWh,,
2025-08-29,2025-W35,20,T.0017__FL01__MDB,T.0017,FL01,MDB,ท.0017 อาคาร ศูนย์พัฒนางานเชื่อมและทดสอบฝีมือช่างเชื่อมสากล,304118,kWh,,
2025-08-29,2025-W35,21,T.0018__FL01__MDB,T.0018,FL01,MDB,ท.0018 อาคารศูนย์มาตรวิทยาและสอบเทียบเครื่องมือวัด,59016,kWh,,
2025-08-29,2025-W35,22,D.0019__FL01__MDB,D.0019,FL01,MDB,ต.0019 อาคารนันทนาการพร้อมอาคารจอดรถ,20800,kWh,,
2025-08-29,2025-W35,23,D.0019__FL01__ร้านค้า_1,D.0019,FL01,ร้านค้า 1,ต.0019 ร้านอาหาร 4 (ครัวเทคแคร์),5088,kWh,,
2025-08-29,2025-W35,24,D.0019__FL01__ร้านค้า_2,D.0019,FL01,ร้านค้า 2,ต.0019 ร้านอาหาร 5 (ตี๋ใหญ่ข้าวมันไก่),5414,kWh,,
2025-08-29,2025-W35,25,D.0019__FL01__ร้านค้า_3,D.0019,FL01,ร้านค้า 3,ต.0019 ร้านอาหาร 6 (ก๋วยเตี๋ยวแก้วขวัญ),95,kWh,,
2025-08-29,2025-W35,26,D.0019__FL01__ร้านค้า_4,D.0019,FL01,ร้านค้า 4,ต.0019 ร้านอาหาร 7 (ต้อมผลไม้สด),5511,kWh,,
2025-08-29,2025-W35,27,D.0019__FL01__ร้านค้า_5,D.0019,FL01,ร้านค้า 5,ต.0019 ร้านอาหาร 8 (ปั้นไปเรื่อย),9768,kWh,,
2025-08-29,2025-W35,28,D.0019__FL01__ร้านค้า_6,D.0019,FL01,ร้านค้า 6,ต.0019 ร้านอาหาร 9 (อาอิซะห์อาหารอิสลาม),588,kWh,,
2025-08-29,2025-W35,29,D.0019__FL01__ร้านค้า_7,D.0019,FL01,ร้านค้า 7,ต.0019 ร้านสหกรณ์,5352,kWh,,
2025-08-29,2025-W35,30,D.0025__FL01__MDB,D.0025,FL01,MDB,ต.0025 อาคารอเนกประสงค์,6.8184,MWh,,
2025-08-29,2025-W35,31,D.0015__FL01__MDB,D.0015,FL01,MDB,ต.0015 อาคารโรงซ่อมเครื่องกล อสร.,26864,kWh,,
2025-08-29,2025-W35,32,T.0022__FL01__MDB,T.0022,FL01,MDB,ท.0022 อาคารห้องกัมตภาพรังสี อบค.,1115,kWh,,
2025-08-29,2025-W35,33,T.0023__FL01__MDB,T.0023,FL01,MDB,ท.0023 อาคาร Construction Shop อบค.,5760,kWh,,
2025-08-29,2025-W35,34,T.0025__FL01__MDB,T.0025,FL01,MDB,ท.0025 อาคารเก็บอุปกรณ์ อสร.,2795,kWh,,
2025-08-29,2025-W35,35,T.0026__FL01__MDB,T.0026,FL01,MDB,ท.0026 อาคารบริหารการขนส่ง,587.19,MWh,,
2025-08-29,2025-W35,36,T.0027__FL01__MDB,T.0027,FL01,MDB,ท.0027 อาคารปฏิบัติการกองขนส่ง,235.72,MWh,,
2025-08-29,2025-W35,37,T.0028__FL01__MDB,T.0028,FL01,MDB,ท.0028 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 1,242.52,MWh,,
2025-08-29,2025-W35,38,T.0029__FL01__MDB,T.0029,FL01,MDB,ท.0029 อาคารกองซ่อมเครื่องจักรกลและยานพาหนะ 2,312.11,MWh,,
2025-08-29,2025-W35,39,D.0031__FL01__MDB,D.0031,FL01,MDB,ต.0031 อาคารโรงอาหาร,34.583,MWh,,
2025-08-29,2025-W35,40,D.0031__FL01__ร้านค้า_1,D.0031,FL01,ร้านค้า 1,ต.0031 ร้านข้าวแกงคุณเพ็ญศรี,1939,kWh,,
2025-08-29,2025-W35,41,D.0033__FL01__MDB,D.0033,FL01,MDB,ต.0033 อาคารปฏิบัติการงานเชื่อม,312.98,kWh,,
2025-08-29,2025-W35,42,B.0001__FL01__MDB,B.0001,FL01,MDB,บ.0001 อาคาร แฟลต อบค.,7979,kWh,,
2025-08-29,2025-W35,43,T.0019__FL01__Main,T.0019,FL01,Main,ท.0019 ชั้นที่ 1 อาคารทำการ ชธธ.,161290.41,kWh,,
